Episode,Title,Source,Month,Colors,Subjects
S05E12,Indian Girl,https://www.youtube.com/embed/2uXMx8Kjs8I,March,"['Bright Red','Burnt Umber','Indian Yellow','Prussian Blue','Titanium White']","['Guest','Portrait']"
S05E13,Meadow Stream,https://www.youtube.com/embed/87MMbN1bQCs,March,"['Alizarin Crimson','Bright Red','Burnt Umber','Cadmium Yellow','Indian Yellow','Phthalo Blue','Phthalo Green','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Barn','Clouds','Deciduous','Grass','River','Rocks','Structure','Tree','Trees']"
S06E01,Blue River,https://www.youtube.com/embed/LygUyAb78oY,May,"['Alizarin Crimson','Black Gesso','Bright Red','Burnt Umber','Cadmium Yellow','Indian Yellow','Phthalo Blue','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Conifer','Deciduous','Grass','Hills','River','Tree','Trees']"
S06E02,Nature's Edge,https://www.youtube.com/embed/Bcqyzo85A1o,May,"['Alizarin Crimson','Bright Red','Burnt Umber','Cadmium Yellow','Indian Yellow','Phthalo Blue','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Cabin','Clouds','Deciduous','Fog','Grass','Lake','Structure','Tree','Trees']"
S06E03,Morning Mist,https://www.youtube.com/embed/wbZreRaE74k,May,"['Alizarin Crimson','Bright Red','Burnt Umber','Cadmium Yellow','Indian Yellow','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Clouds','Conifer','Fog','Lake','Mountain','Snowy Mountain','Tree','Trees']"
S06E04,Whispering Stream,https://www.youtube.com/embed/QglIjlqsUdU,May,"['Alizarin Crimson','Bright Red','Burnt Umber','Cadmium Yellow','Indian Yellow','Phthalo Blue','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Deciduous','Grass','River','Rocks','Tree','Trees']"
S06E05,Secluded Forest,https://www.youtube.com/embed/USkduOfwJok,May,"['Alizarin Crimson','Black Gesso','Bright Red','Burnt Umber','Cadmium Yellow','Indian Yellow','Phthalo Blue','Phthalo Green','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Deciduous','River','Tree','Trees']"
S06E06,Snow Trail,https://www.youtube.com/embed/n9EsFFtwZnE,June,"['Alizarin Crimson','Burnt Umber','Cadmium Yellow','Phthalo Blue','Phthalo Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Clouds','Conifer','Cumulus','Grass','Snow','Tree','Trees']"
S06E07,Arctic Beauty,https://www.youtube.com/embed/UQ-RTZCOQn0,June,"['Alizarin Crimson','Bright Red','Burnt Umber','Cadmium Yellow','Indian Yellow','Phthalo Blue','Phthalo Green','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Cirrus','Clouds','Conifer','Grass','Mountain','Mountains','River','Snowy Mountain','Tree','Trees','Waterfall']"
S06E08,Horizons West,https://www.youtube.com/embed/m6UM-rN2D6s,June,"['Alizarin Crimson','Bright Red','Cadmium Yellow','Indian Yellow','Prussian Blue','Titanium White','Van Dyke Brown']","['Bushes','Conifer','Lake','Mountain','Snowy Mountain','Tree','Trees']"
S06E09,High Chateau,https://www.youtube.com/embed/dafH8ks9Zww,June,"['Alizarin Crimson','Bright Red','Burnt Umber','Cadmium Yellow','Indian Yellow','Phthalo Blue','Phthalo Green','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Cabin','Clouds','Conifer','Cumulus','Grass','Rocks','Tree','Trees']"
S06E10,Country Life,https://www.youtube.com/embed/j8Jf7QVKLgQ,July,"['Alizarin Crimson','Bright Red','Burnt Umber','Cadmium Yellow','Indian Yellow','Prussian Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Barn','Cirrus','Clouds','Fence','Grass']"
S06E11,Western Expanse,https://www.youtube.com/embed/MTInkV5ODjk,July,"['Alizarin Crimson','Bright Red','Burnt Umber','Cadmium Yellow','Indian Yellow','Phthalo Blue','Phthalo Green','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Cirrus','Clouds','Deciduous','Mountain','Mountains','River','Tree']"
S06E12,Marshlands,https://www.youtube.com/embed/Ugiwi8uizpg,July,"['Alizarin Crimson','Black Gesso','Bright Red','Burnt Umber','Cadmium Yellow','Indian Yellow','Phthalo Blue','Sap Green','Titanium White','Van Dyke Brown','Yellow Ochre']","['Bushes','Clouds','Deciduous','Lake','Tree','Trees']"
